Driver,Nationality,Season,Championships,Race_Entries,Race_Starts,Pole_Positions,Race_Wins,Podiums,Fastest_Laps,Championship Years,Decade,Pole_Rate,Start_Rate,Win_Rate,Podium_Rate,FastLap_Rate,Points_Per_Entry,Years_Active,Champion
Fred Agabashian,United States,1953,0.0,9.0,8.0,1.0,0.0,0.0,0.0,,1950,0.1111111111111111,0.8888888888888888,0.0,0.0,0.0,0.1666666666666666,8,False
Fred Agabashian,United States,1954,0.0,9.0,8.0,1.0,0.0,0.0,0.0,,1950,0.1111111111111111,0.8888888888888888,0.0,0.0,0.0,0.1666666666666666,8,False
Fred Agabashian,United States,1955,0.0,9.0,8.0,1.0,0.0,0.0,0.0,,1950,0.1111111111111111,0.8888888888888888,0.0,0.0,0.0,0.1666666666666666,8,False
Fred Agabashian,United States,1956,0.0,9.0,8.0,1.0,0.0,0.0,0.0,,1950,0.1111111111111111,0.8888888888888888,0.0,0.0,0.0,0.1666666666666666,8,False
Fred Agabashian,United States,1957,0.0,9.0,8.0,1.0,0.0,0.0,0.0,,1950,0.1111111111111111,0.8888888888888888,0.0,0.0,0.0,0.1666666666666666,8,False
Kurt Ahrens Jr.,West Germany,1966,0.0,4.0,4.0,0.0,0.0,0.0,0.0,,1970,0.0,1.0,0.0,0.0,0.0,0.0,4,False
Kurt Ahrens Jr.,West Germany,1967,0.0,4.0,4.0,0.0,0.0,0.0,0.0,,1970,0.0,1.0,0.0,0.0,0.0,0.0,4,False
Kurt Ahrens Jr.,West Germany,1968,0.0,4.0,4.0,0.0,0.0,0.0,0.0,,1970,0.0,1.0,0.0,0.0,0.0,0.0,4,False
Kurt Ahrens Jr.,West Germany,1969,0.0,4.0,4.0,0.0,0.0,0.0,0.0,,1970,0.0,1.0,0.0,0.0,0.0,0.0,4,False
Jack Aitken,United Kingdom,2020,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,2020,0.0,1.0,0.0,0.0,0.0,0.0,1,False
Christijan Albers,Netherlands,2005,0.0,46.0,46.0,0.0,0.0,0.0,0.0,,2010,0.0,1.0,0.0,0.0,0.0,0.0869565217391304,3,False
Christijan Albers,Netherlands,2006,0.0,46.0,46.0,0.0,0.0,0.0,0.0,,2010,0.0,1.0,0.0,0.0,0.0,0.0869565217391304,3,False
Christijan Albers,Netherlands,2007,0.0,46.0,46.0,0.0,0.0,0.0,0.0,,2010,0.0,1.0,0.0,0.0,0.0,0.0869565217391304,3,False
Alexander Albon,Thailand,2019,0.0,61.0,60.0,0.0,0.0,2.0,0.0,,2020,0.0,0.9836065573770492,0.0,0.0327868852459016,0.0,3.3114754098360657,3,False
Alexander Albon,Thailand,2020,0.0,61.0,60.0,0.0,0.0,2.0,0.0,,2020,0.0,0.9836065573770492,0.0,0.0327868852459016,0.0,3.3114754098360657,3,False
Alexander Albon,Thailand,2022,0.0,61.0,60.0,0.0,0.0,2.0,0.0,,2020,0.0,0.9836065573770492,0.0,0.0327868852459016,0.0,3.3114754098360657,3,False
Michele Alboreto,Italy,1981,0.0,215.0,194.0,2.0,5.0,23.0,5.0,,1990,0.0093023255813953,0.9023255813953488,0.0232558139534883,0.1069767441860465,0.0232558139534883,0.8674418604651163,14,False
Michele Alboreto,Italy,1982,0.0,215.0,194.0,2.0,5.0,23.0,5.0,,1990,0.0093023255813953,0.9023255813953488,0.0232558139534883,0.1069767441860465,0.0232558139534883,0.8674418604651163,14,False
Michele Alboreto,Italy,1983,0.0,215.0,194.0,2.0,5.0,23.0,5.0,,1990,0.0093023255813953,0.9023255813953488,0.0232558139534883,0.1069767441860465,0.0232558139534883,0.8674418604651163,14,False
Michele Alboreto,Italy,1984,0.0,215.0,194.0,2.0,5.0,23.0,5.0,,1990,0.0093023255813953,0.9023255813953488,0.0232558139534883,0.1069767441860465,0.0232558139534883,0.8674418604651163,14,False
Michele Alboreto,Italy,1985,0.0,215.0,194.0,2.0,5.0,23.0,5.0,,1990,0.0093023255813953,0.9023255813953488,0.0232558139534883,0.1069767441860465,0.0232558139534883,0.8674418604651163,14,False
Michele Alboreto,Italy,1986,0.0,215.0,194.0,2.0,5.0,23.0,5.0,,1990,0.0093023255813953,0.9023255813953488,0.0232558139534883,0.1069767441860465,0.0232558139534883,0.8674418604651163,14,False
Michele Alboreto,Italy,1987,0.0,215.0,194.0,2.0,5.0,23.0,5.0,,1990,0.0093023255813953,0.9023255813953488,0.0232558139534883,0.1069767441860465,0.0232558139534883,0.8674418604651163,14,False
Michele Alboreto,Italy,1988,0.0,215.0,194.0,2.0,5.0,23.0,5.0,,1990,0.0093023255813953,0.9023255813953488,0.0232558139534883,0.1069767441860465,0.0232558139534883,0.8674418604651163,14,False
Michele Alboreto,Italy,1989,0.0,215.0,194.0,2.0,5.0,23.0,5.0,,1990,0.0093023255813953,0.9023255813953488,0.0232558139534883,0.1069767441860465,0.0232558139534883,0.8674418604651163,14,False
Michele Alboreto,Italy,1990,0.0,215.0,194.0,2.0,5.0,23.0,5.0,,1990,0.0093023255813953,0.9023255813953488,0.0232558139534883,0.1069767441860465,0.0232558139534883,0.8674418604651163,14,False
Michele Alboreto,Italy,1991,0.0,215.0,194.0,2.0,5.0,23.0,5.0,,1990,0.0093023255813953,0.9023255813953488,0.0232558139534883,0.1069767441860465,0.0232558139534883,0.8674418604651163,14,False
Michele Alboreto,Italy,1992,0.0,215.0,194.0,2.0,5.0,23.0,5.0,,1990,0.0093023255813953,0.9023255813953488,0.0232558139534883,0.1069767441860465,0.0232558139534883,0.8674418604651163,14,False
Michele Alboreto,Italy,1993,0.0,215.0,194.0,2.0,5.0,23.0,5.0,,1990,0.0093023255813953,0.9023255813953488,0.0232558139534883,0.1069767441860465,0.0232558139534883,0.8674418604651163,14,False
Michele Alboreto,Italy,1994,0.0,215.0,194.0,2.0,5.0,23.0,5.0,,1990,0.0093023255813953,0.9023255813953488,0.0232558139534883,0.1069767441860465,0.0232558139534883,0.8674418604651163,14,False
Jean Alesi,France,1989,0.0,202.0,201.0,2.0,1.0,32.0,4.0,,2000,0.0099009900990099,0.995049504950495,0.0049504950495049,0.1584158415841584,0.0198019801980198,1.193069306930693,13,False
Jean Alesi,France,1990,0.0,202.0,201.0,2.0,1.0,32.0,4.0,,2000,0.0099009900990099,0.995049504950495,0.0049504950495049,0.1584158415841584,0.0198019801980198,1.193069306930693,13,False
Jean Alesi,France,1991,0.0,202.0,201.0,2.0,1.0,32.0,4.0,,2000,0.0099009900990099,0.995049504950495,0.0049504950495049,0.1584158415841584,0.0198019801980198,1.193069306930693,13,False
Jean Alesi,France,1992,0.0,202.0,201.0,2.0,1.0,32.0,4.0,,2000,0.0099009900990099,0.995049504950495,0.0049504950495049,0.1584158415841584,0.0198019801980198,1.193069306930693,13,False
Jean Alesi,France,1993,0.0,202.0,201.0,2.0,1.0,32.0,4.0,,2000,0.0099009900990099,0.995049504950495,0.0049504950495049,0.1584158415841584,0.0198019801980198,1.193069306930693,13,False
Jean Alesi,France,1994,0.0,202.0,201.0,2.0,1.0,32.0,4.0,,2000,0.0099009900990099,0.995049504950495,0.0049504950495049,0.1584158415841584,0.0198019801980198,1.193069306930693,13,False
Jean Alesi,France,1995,0.0,202.0,201.0,2.0,1.0,32.0,4.0,,2000,0.0099009900990099,0.995049504950495,0.0049504950495049,0.1584158415841584,0.0198019801980198,1.193069306930693,13,False
Jean Alesi,France,1996,0.0,202.0,201.0,2.0,1.0,32.0,4.0,,2000,0.0099009900990099,0.995049504950495,0.0049504950495049,0.1584158415841584,0.0198019801980198,1.193069306930693,13,False
Jean Alesi,France,1997,0.0,202.0,201.0,2.0,1.0,32.0,4.0,,2000,0.0099009900990099,0.995049504950495,0.0049504950495049,0.1584158415841584,0.0198019801980198,1.193069306930693,13,False
Jean Alesi,France,1998,0.0,202.0,201.0,2.0,1.0,32.0,4.0,,2000,0.0099009900990099,0.995049504950495,0.0049504950495049,0.1584158415841584,0.0198019801980198,1.193069306930693,13,False
Jean Alesi,France,1999,0.0,202.0,201.0,2.0,1.0,32.0,4.0,,2000,0.0099009900990099,0.995049504950495,0.0049504950495049,0.1584158415841584,0.0198019801980198,1.193069306930693,13,False
Jean Alesi,France,2000,0.0,202.0,201.0,2.0,1.0,32.0,4.0,,2000,0.0099009900990099,0.995049504950495,0.0049504950495049,0.1584158415841584,0.0198019801980198,1.193069306930693,13,False
Jean Alesi,France,2001,0.0,202.0,201.0,2.0,1.0,32.0,4.0,,2000,0.0099009900990099,0.995049504950495,0.0049504950495049,0.1584158415841584,0.0198019801980198,1.193069306930693,13,False
Jaime Alguersuari,Spain,2009,0.0,46.0,46.0,0.0,0.0,0.0,0.0,,2010,0.0,1.0,0.0,0.0,0.0,0.6739130434782609,3,False
Jaime Alguersuari,Spain,2010,0.0,46.0,46.0,0.0,0.0,0.0,0.0,,2010,0.0,1.0,0.0,0.0,0.0,0.6739130434782609,3,False
Jaime Alguersuari,Spain,2011,0.0,46.0,46.0,0.0,0.0,0.0,0.0,,2010,0.0,1.0,0.0,0.0,0.0,0.6739130434782609,3,False
Philippe Alliot,France,1984,0.0,116.0,109.0,0.0,0.0,0.0,0.0,,1990,0.0,0.9396551724137931,0.0,0.0,0.0,0.0603448275862069,9,False
Philippe Alliot,France,1985,0.0,116.0,109.0,0.0,0.0,0.0,0.0,,1990,0.0,0.9396551724137931,0.0,0.0,0.0,0.0603448275862069,9,False
Philippe Alliot,France,1986,0.0,116.0,109.0,0.0,0.0,0.0,0.0,,1990,0.0,0.9396551724137931,0.0,0.0,0.0,0.0603448275862069,9,False
Philippe Alliot,France,1987,0.0,116.0,109.0,0.0,0.0,0.0,0.0,,1990,0.0,0.9396551724137931,0.0,0.0,0.0,0.0603448275862069,9,False
Philippe Alliot,France,1988,0.0,116.0,109.0,0.0,0.0,0.0,0.0,,1990,0.0,0.9396551724137931,0.0,0.0,0.0,0.0603448275862069,9,False
Philippe Alliot,France,1989,0.0,116.0,109.0,0.0,0.0,0.0,0.0,,1990,0.0,0.9396551724137931,0.0,0.0,0.0,0.0603448275862069,9,False
Philippe Alliot,France,1990,0.0,116.0,109.0,0.0,0.0,0.0,0.0,,1990,0.0,0.9396551724137931,0.0,0.0,0.0,0.0603448275862069,9,False
Philippe Alliot,France,1993,0.0,116.0,109.0,0.0,0.0,0.0,0.0,,1990,0.0,0.9396551724137931,0.0,0.0,0.0,0.0603448275862069,9,False
Philippe Alliot,France,1994,0.0,116.0,109.0,0.0,0.0,0.0,0.0,,1990,0.0,0.9396551724137931,0.0,0.0,0.0,0.0603448275862069,9,False
Cliff Allison,United Kingdom,1958,0.0,18.0,16.0,0.0,0.0,1.0,0.0,,1960,0.0,0.8888888888888888,0.0,0.0555555555555555,0.0,0.6111111111111112,4,False
Cliff Allison,United Kingdom,1959,0.0,18.0,16.0,0.0,0.0,1.0,0.0,,1960,0.0,0.8888888888888888,0.0,0.0555555555555555,0.0,0.6111111111111112,4,False
Cliff Allison,United Kingdom,1960,0.0,18.0,16.0,0.0,0.0,1.0,0.0,,1960,0.0,0.8888888888888888,0.0,0.0555555555555555,0.0,0.6111111111111112,4,False
Cliff Allison,United Kingdom,1961,0.0,18.0,16.0,0.0,0.0,1.0,0.0,,1960,0.0,0.8888888888888888,0.0,0.0555555555555555,0.0,0.6111111111111112,4,False
Fernando Alonso,Spain,2001,2.0,359.0,356.0,22.0,32.0,99.0,23.0,"[2005, 2006]",2010,0.0612813370473537,0.9916434540389972,0.0891364902506963,0.2757660167130919,0.064066852367688,5.782729805013927,19,True
Fernando Alonso,Spain,2003,2.0,359.0,356.0,22.0,32.0,99.0,23.0,"[2005, 2006]",2010,0.0612813370473537,0.9916434540389972,0.0891364902506963,0.2757660167130919,0.064066852367688,5.782729805013927,19,True
Fernando Alonso,Spain,2004,2.0,359.0,356.0,22.0,32.0,99.0,23.0,"[2005, 2006]",2010,0.0612813370473537,0.9916434540389972,0.0891364902506963,0.2757660167130919,0.064066852367688,5.782729805013927,19,True
Fernando Alonso,Spain,2005,2.0,359.0,356.0,22.0,32.0,99.0,23.0,"[2005, 2006]",2010,0.0612813370473537,0.9916434540389972,0.0891364902506963,0.2757660167130919,0.064066852367688,5.782729805013927,19,True
Fernando Alonso,Spain,2006,2.0,359.0,356.0,22.0,32.0,99.0,23.0,"[2005, 2006]",2010,0.0612813370473537,0.9916434540389972,0.0891364902506963,0.2757660167130919,0.064066852367688,5.782729805013927,19,True
Fernando Alonso,Spain,2007,2.0,359.0,356.0,22.0,32.0,99.0,23.0,"[2005, 2006]",2010,0.0612813370473537,0.9916434540389972,0.0891364902506963,0.2757660167130919,0.064066852367688,5.782729805013927,19,True
Fernando Alonso,Spain,2008,2.0,359.0,356.0,22.0,32.0,99.0,23.0,"[2005, 2006]",2010,0.0612813370473537,0.9916434540389972,0.0891364902506963,0.2757660167130919,0.064066852367688,5.782729805013927,19,True
Fernando Alonso,Spain,2009,2.0,359.0,356.0,22.0,32.0,99.0,23.0,"[2005, 2006]",2010,0.0612813370473537,0.9916434540389972,0.0891364902506963,0.2757660167130919,0.064066852367688,5.782729805013927,19,True
Fernando Alonso,Spain,2010,2.0,359.0,356.0,22.0,32.0,99.0,23.0,"[2005, 2006]",2010,0.0612813370473537,0.9916434540389972,0.0891364902506963,0.2757660167130919,0.064066852367688,5.782729805013927,19,True
Fernando Alonso,Spain,2011,2.0,359.0,356.0,22.0,32.0,99.0,23.0,"[2005, 2006]",2010,0.0612813370473537,0.9916434540389972,0.0891364902506963,0.2757660167130919,0.064066852367688,5.782729805013927,19,True
Fernando Alonso,Spain,2012,2.0,359.0,356.0,22.0,32.0,99.0,23.0,"[2005, 2006]",2010,0.0612813370473537,0.9916434540389972,0.0891364902506963,0.2757660167130919,0.064066852367688,5.782729805013927,19,True
Fernando Alonso,Spain,2013,2.0,359.0,356.0,22.0,32.0,99.0,23.0,"[2005, 2006]",2010,0.0612813370473537,0.9916434540389972,0.0891364902506963,0.2757660167130919,0.064066852367688,5.782729805013927,19,True
Fernando Alonso,Spain,2014,2.0,359.0,356.0,22.0,32.0,99.0,23.0,"[2005, 2006]",2010,0.0612813370473537,0.9916434540389972,0.0891364902506963,0.2757660167130919,0.064066852367688,5.782729805013927,19,True
Fernando Alonso,Spain,2015,2.0,359.0,356.0,22.0,32.0,99.0,23.0,"[2005, 2006]",2010,0.0612813370473537,0.9916434540389972,0.0891364902506963,0.2757660167130919,0.064066852367688,5.782729805013927,19,True
Fernando Alonso,Spain,2016,2.0,359.0,356.0,22.0,32.0,99.0,23.0,"[2005, 2006]",2010,0.0612813370473537,0.9916434540389972,0.0891364902506963,0.2757660167130919,0.064066852367688,5.782729805013927,19,True
Fernando Alonso,Spain,2017,2.0,359.0,356.0,22.0,32.0,99.0,23.0,"[2005, 2006]",2010,0.0612813370473537,0.9916434540389972,0.0891364902506963,0.2757660167130919,0.064066852367688,5.782729805013927,19,True
Fernando Alonso,Spain,2018,2.0,359.0,356.0,22.0,32.0,99.0,23.0,"[2005, 2006]",2010,0.0612813370473537,0.9916434540389972,0.0891364902506963,0.2757660167130919,0.064066852367688,5.782729805013927,19,True
Fernando Alonso,Spain,2021,2.0,359.0,356.0,22.0,32.0,99.0,23.0,"[2005, 2006]",2010,0.0612813370473537,0.9916434540389972,0.0891364902506963,0.2757660167130919,0.064066852367688,5.782729805013927,19,True
Fernando Alonso,Spain,2022,2.0,359.0,356.0,22.0,32.0,99.0,23.0,"[2005, 2006]",2010,0.0612813370473537,0.9916434540389972,0.0891364902506963,0.2757660167130919,0.064066852367688,5.782729805013927,19,True
Giovanna Amati,Italy,1992,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,1990,0.0,0.0,0.0,0.0,0.0,0.0,1,False
George Amick,United States,1958,0.0,2.0,1.0,0.0,0.0,1.0,0.0,,1960,0.0,0.5,0.0,0.5,0.0,3.0,1,False
Red Amick,United States,1959,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,1960,0.0,1.0,0.0,0.0,0.0,0.0,2,False
Red Amick,United States,1960,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,1960,0.0,1.0,0.0,0.0,0.0,0.0,2,False
Chris Amon,New Zealand,1963,0.0,108.0,96.0,5.0,0.0,11.0,3.0,,1970,0.0462962962962962,0.8888888888888888,0.0,0.1018518518518518,0.0277777777777777,0.7685185185185185,14,False
Chris Amon,New Zealand,1964,0.0,108.0,96.0,5.0,0.0,11.0,3.0,,1970,0.0462962962962962,0.8888888888888888,0.0,0.1018518518518518,0.0277777777777777,0.7685185185185185,14,False
Chris Amon,New Zealand,1965,0.0,108.0,96.0,5.0,0.0,11.0,3.0,,1970,0.0462962962962962,0.8888888888888888,0.0,0.1018518518518518,0.0277777777777777,0.7685185185185185,14,False
Chris Amon,New Zealand,1966,0.0,108.0,96.0,5.0,0.0,11.0,3.0,,1970,0.0462962962962962,0.8888888888888888,0.0,0.1018518518518518,0.0277777777777777,0.7685185185185185,14,False
Chris Amon,New Zealand,1967,0.0,108.0,96.0,5.0,0.0,11.0,3.0,,1970,0.0462962962962962,0.8888888888888888,0.0,0.1018518518518518,0.0277777777777777,0.7685185185185185,14,False
Chris Amon,New Zealand,1968,0.0,108.0,96.0,5.0,0.0,11.0,3.0,,1970,0.0462962962962962,0.8888888888888888,0.0,0.1018518518518518,0.0277777777777777,0.7685185185185185,14,False
Chris Amon,New Zealand,1969,0.0,108.0,96.0,5.0,0.0,11.0,3.0,,1970,0.0462962962962962,0.8888888888888888,0.0,0.1018518518518518,0.0277777777777777,0.7685185185185185,14,False
Chris Amon,New Zealand,1970,0.0,108.0,96.0,5.0,0.0,11.0,3.0,,1970,0.0462962962962962,0.8888888888888888,0.0,0.1018518518518518,0.0277777777777777,0.7685185185185185,14,False
Chris Amon,New Zealand,1971,0.0,108.0,96.0,5.0,0.0,11.0,3.0,,1970,0.0462962962962962,0.8888888888888888,0.0,0.1018518518518518,0.0277777777777777,0.7685185185185185,14,False
Chris Amon,New Zealand,1972,0.0,108.0,96.0,5.0,0.0,11.0,3.0,,1970,0.0462962962962962,0.8888888888888888,0.0,0.1018518518518518,0.0277777777777777,0.7685185185185185,14,False
Chris Amon,New Zealand,1973,0.0,108.0,96.0,5.0,0.0,11.0,3.0,,1970,0.0462962962962962,0.8888888888888888,0.0,0.1018518518518518,0.0277777777777777,0.7685185185185185,14,False
Chris Amon,New Zealand,1974,0.0,108.0,96.0,5.0,0.0,11.0,3.0,,1970,0.0462962962962962,0.8888888888888888,0.0,0.1018518518518518,0.0277777777777777,0.7685185185185185,14,False
Chris Amon,New Zealand,1975,0.0,108.0,96.0,5.0,0.0,11.0,3.0,,1970,0.0462962962962962,0.8888888888888888,0.0,0.1018518518518518,0.0277777777777777,0.7685185185185185,14,False
Chris Amon,New Zealand,1976,0.0,108.0,96.0,5.0,0.0,11.0,3.0,,1970,0.0462962962962962,0.8888888888888888,0.0,0.1018518518518518,0.0277777777777777,0.7685185185185185,14,False
Bob Anderson,United Kingdom,1963,0.0,29.0,25.0,0.0,0.0,1.0,0.0,,1960,0.0,0.8620689655172413,0.0,0.0344827586206896,0.0,0.2758620689655172,5,False
Bob Anderson,United Kingdom,1964,0.0,29.0,25.0,0.0,0.0,1.0,0.0,,1960,0.0,0.8620689655172413,0.0,0.0344827586206896,0.0,0.2758620689655172,5,False
Bob Anderson,United Kingdom,1965,0.0,29.0,25.0,0.0,0.0,1.0,0.0,,1960,0.0,0.8620689655172413,0.0,0.0344827586206896,0.0,0.2758620689655172,5,False
Bob Anderson,United Kingdom,1966,0.0,29.0,25.0,0.0,0.0,1.0,0.0,,1960,0.0,0.8620689655172413,0.0,0.0344827586206896,0.0,0.2758620689655172,5,False
Bob Anderson,United Kingdom,1967,0.0,29.0,25.0,0.0,0.0,1.0,0.0,,1960,0.0,0.8620689655172413,0.0,0.0344827586206896,0.0,0.2758620689655172,5,False
Conny Andersson,Sweden,1976,0.0,5.0,1.0,0.0,0.0,0.0,0.0,,1980,0.0,0.2,0.0,0.0,0.0,0.0,2,False
Conny Andersson,Sweden,1977,0.0,5.0,1.0,0.0,0.0,0.0,0.0,,1980,0.0,0.2,0.0,0.0,0.0,0.0,2,False
Emil Andres,United States,1950,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,1950,0.0,0.0,0.0,0.0,0.0,0.0,1,False
Mario Andretti,United States,1968,1.0,131.0,128.0,18.0,12.0,19.0,10.0,[1978],1980,0.1374045801526717,0.9770992366412212,0.0916030534351145,0.1450381679389313,0.0763358778625954,1.3740458015267176,14,True
Mario Andretti,United States,1969,1.0,131.0,128.0,18.0,12.0,19.0,10.0,[1978],1980,0.1374045801526717,0.9770992366412212,0.0916030534351145,0.1450381679389313,0.0763358778625954,1.3740458015267176,14,True
Mario Andretti,United States,1970,1.0,131.0,128.0,18.0,12.0,19.0,10.0,[1978],1980,0.1374045801526717,0.9770992366412212,0.0916030534351145,0.1450381679389313,0.0763358778625954,1.3740458015267176,14,True
Mario Andretti,United States,1971,1.0,131.0,128.0,18.0,12.0,19.0,10.0,[1978],1980,0.1374045801526717,0.9770992366412212,0.0916030534351145,0.1450381679389313,0.0763358778625954,1.3740458015267176,14,True
Mario Andretti,United States,1972,1.0,131.0,128.0,18.0,12.0,19.0,10.0,[1978],1980,0.1374045801526717,0.9770992366412212,0.0916030534351145,0.1450381679389313,0.0763358778625954,1.3740458015267176,14,True
Mario Andretti,United States,1974,1.0,131.0,128.0,18.0,12.0,19.0,10.0,[1978],1980,0.1374045801526717,0.9770992366412212,0.0916030534351145,0.1450381679389313,0.0763358778625954,1.3740458015267176,14,True
Mario Andretti,United States,1975,1.0,131.0,128.0,18.0,12.0,19.0,10.0,[1978],1980,0.1374045801526717,0.9770992366412212,0.0916030534351145,0.1450381679389313,0.0763358778625954,1.3740458015267176,14,True
Mario Andretti,United States,1976,1.0,131.0,128.0,18.0,12.0,19.0,10.0,[1978],1980,0.1374045801526717,0.9770992366412212,0.0916030534351145,0.1450381679389313,0.0763358778625954,1.3740458015267176,14,True
Mario Andretti,United States,1977,1.0,131.0,128.0,18.0,12.0,19.0,10.0,[1978],1980,0.1374045801526717,0.9770992366412212,0.0916030534351145,0.1450381679389313,0.0763358778625954,1.3740458015267176,14,True
Mario Andretti,United States,1978,1.0,131.0,128.0,18.0,12.0,19.0,10.0,[1978],1980,0.1374045801526717,0.9770992366412212,0.0916030534351145,0.1450381679389313,0.0763358778625954,1.3740458015267176,14,True
Mario Andretti,United States,1979,1.0,131.0,128.0,18.0,12.0,19.0,10.0,[1978],1980,0.1374045801526717,0.9770992366412212,0.0916030534351145,0.1450381679389313,0.0763358778625954,1.3740458015267176,14,True
Mario Andretti,United States,1980,1.0,131.0,128.0,18.0,12.0,19.0,10.0,[1978],1980,0.1374045801526717,0.9770992366412212,0.0916030534351145,0.1450381679389313,0.0763358778625954,1.3740458015267176,14,True
Mario Andretti,United States,1981,1.0,131.0,128.0,18.0,12.0,19.0,10.0,[1978],1980,0.1374045801526717,0.9770992366412212,0.0916030534351145,0.1450381679389313,0.0763358778625954,1.3740458015267176,14,True
Mario Andretti,United States,1982,1.0,131.0,128.0,18.0,12.0,19.0,10.0,[1978],1980,0.1374045801526717,0.9770992366412212,0.0916030534351145,0.1450381679389313,0.0763358778625954,1.3740458015267176,14,True
Michael Andretti,United States,1993,0.0,13.0,13.0,0.0,0.0,1.0,0.0,,1990,0.0,1.0,0.0,0.0769230769230769,0.0,0.5384615384615384,1,False
Keith Andrews,United States,1955,0.0,3.0,2.0,0.0,0.0,0.0,0.0,,1960,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,2,False
Keith Andrews,United States,1956,0.0,3.0,2.0,0.0,0.0,0.0,0.0,,1960,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,2,False
Elio de Angelis,Italy,1979,0.0,109.0,108.0,3.0,2.0,9.0,0.0,,1980,0.0275229357798165,0.9908256880733946,0.018348623853211,0.0825688073394495,0.0,1.1192660550458715,8,False
Elio de Angelis,Italy,1980,0.0,109.0,108.0,3.0,2.0,9.0,0.0,,1980,0.0275229357798165,0.9908256880733946,0.018348623853211,0.0825688073394495,0.0,1.1192660550458715,8,False
Elio de Angelis,Italy,1981,0.0,109.0,108.0,3.0,2.0,9.0,0.0,,1980,0.0275229357798165,0.9908256880733946,0.018348623853211,0.0825688073394495,0.0,1.1192660550458715,8,False
Elio de Angelis,Italy,1982,0.0,109.0,108.0,3.0,2.0,9.0,0.0,,1980,0.0275229357798165,0.9908256880733946,0.018348623853211,0.0825688073394495,0.0,1.1192660550458715,8,False
Elio de Angelis,Italy,1983,0.0,109.0,108.0,3.0,2.0,9.0,0.0,,1980,0.0275229357798165,0.9908256880733946,0.018348623853211,0.0825688073394495,0.0,1.1192660550458715,8,False
